origin\destination,Götaplatsen-området,Infart N,Infart NO,Infart NV,Infart O,Infart S,Infart SO,Infart SV,Infart V,Scandinavium-området
Götaplatsen-området,0,115,446,30,106,7,715,116,51,22
Infart N,18,0,27,0,284,67,1187,373,0,192
Infart NO,56,160,172,151,334,31,292,1190,330,138
Infart NV,35,0,112,0,81,20,1298,1,0,168
Infart O,31,210,128,102,4,91,16,145,368,124
Infart S,0,123,339,18,73,0,158,0,0,59
Infart SO,78,661,773,752,36,155,13,1303,1775,126
Infart SV,0,0,1513,0,33,39,860,0,0,186
Infart V,0,0,65,0,142,38,1440,0,0,260
Scandinavium-området,37,130,197,85,97,12,109,231,196,0
